horizon,mse,rmse,mae,mape,mdape,coverage
1 days,1230.577623605792,35.07958984375091,35.07958984375091,0.005405850369691742,0.005405850369691742,0.0
2 days,1563.3760759831193,39.53955078125091,39.53955078125091,0.006099570400485895,0.006099570400485895,0.0
3 days,3096.857285499674,55.64941406250091,55.64941406250091,0.008578393738111421,0.008578393738111421,0.0
4 days,3083.5028114320867,55.52929687500182,55.52929687500182,0.008574972878040587,0.008574972878040587,0.0
5 days,7556.600785255749,86.92871093750182,86.92871093750182,0.013382212774402167,0.013382212774402167,0.0
6 days,6190.339554786969,78.67871093750182,78.67871093750182,0.012148731829943067,0.012148731829943067,0.0
