horizon,mse,rmse,mae,mape,mdape,coverage
1 days,228773.5057106018,478.302734375,478.302734375,0.059196888193600035,0.059196888193600035,0.0
2 days,1152546.925438881,1073.5673828125,1073.5673828125,0.13625557422012355,0.13625557422012355,0.0
3 days,1393716.2874994236,1180.5576171874982,1180.5576171874982,0.14456006638643698,0.14456006638643698,0.0
4 days,2903777.4163057804,1704.04736328125,1704.04736328125,0.21201112188615467,0.21201112188615467,0.0
5 days,3777440.8854391575,1943.56396484375,1943.56396484375,0.23723715043090368,0.23723715043090368,0.0
6 days,5694603.8674173355,2386.3369140625,2386.3369140625,0.29301080200559854,0.29301080200559854,0.0
