horizon,mse,rmse,mae,mape,mdape,coverage
1 days,120303.29664611816,346.84765625,346.84765625,0.009811762844256484,0.009811762844256484,0.0
2 days,2635105.4264068366,1623.3007812499927,1623.3007812499927,0.0434763777109766,0.0434763777109766,0.0
3 days,8891205.78515625,2981.8125,2981.8125,0.0756671894238176,0.0756671894238176,0.0
4 days,8178929.701232868,2859.8828124999927,2859.8828124999927,0.07150438833974396,0.07150438833974396,0.0
5 days,4672099.136733977,2161.5039062499927,2161.5039062499927,0.05402622260391251,0.05402622260391251,0.0
6 days,13525730.133056587,3677.7343749999927,3677.7343749999927,0.0870767551769742,0.0870767551769742,0.0
