horizon,mse,rmse,mae,mape,mdape,coverage
1 days,1051738.3807502354,1025.542968748865,1025.542968748865,0.017919728266681124,0.017919728266681124,0.0
2 days,1154919.6389125907,1074.6718749984066,1074.6718749984066,0.019028212196948186,0.019028212196948186,0.0
3 days,1007529.7461588896,1003.7578125020445,1003.7578125020445,0.018727437661791156,0.018727437661791156,0.0
4 days,21161473.463173117,4600.16015625251,4600.16015625251,0.09349785397507995,0.09349785397507995,0.0
5 days,13183253.265646504,3630.8750000029613,3630.8750000029613,0.07354587300243172,0.07354587300243172,0.0
6 days,2611317.1268573655,1615.9570312534197,1615.9570312534197,0.03194687961040811,0.03194687961040811,0.0
