horizon,mse,rmse,mae,mape,mdape,coverage
1 days,4766631.732559236,2183.2617187500073,2183.2617187500073,0.06362155015455352,0.06362155015455352,0.0
2 days,27706282.730117876,5263.675781250007,5263.675781250007,0.15359641025793028,0.15359641025793028,0.0
3 days,89347688.52758816,9452.390625000015,9452.390625000015,0.2854468817577726,0.2854468817577726,0.0
4 days,145518984.76562536,12063.125000000015,12063.125000000015,0.35969412208956125,0.35969412208956125,0.0
5 days,172227892.69140682,13123.562500000022,13123.562500000022,0.3695707032094797,0.3695707032094797,0.0
6 days,201506896.97265708,14195.31250000003,14195.31250000003,0.37882361403357057,0.37882361403357057,0.0
