horizon,mse,rmse,mae,mape,mdape,coverage
1 days,658207.3730859756,811.2998046875,811.2998046875,0.07300654120316484,0.07300654120316484,0.0
2 days,33452.19566440516,182.89941406249818,182.89941406249818,0.017333480301744114,0.017333480301744114,0.0
3 days,622362.2855081558,788.8994140625,788.8994140625,0.07027869435906457,0.07027869435906457,0.0
4 days,809639.6885156599,899.7998046874982,899.7998046874982,0.07890419682002528,0.07890419682002528,0.0
5 days,14160.999999999567,118.99999999999818,118.99999999999818,0.011131482044803095,0.011131482044803095,0.0
6 days,401829.7052345322,633.9003906250036,633.9003906250036,0.06335835988255908,0.06335835988255908,0.0
