horizon,mse,rmse,mae,mape,mdape,coverage
1 days,49.68253618479416,7.048583984375455,7.048583984375455,0.0018285282453495819,0.0018285282453495819,0.0
2 days,229.74891811609268,15.157470703125,15.157470703125,0.003927229391375909,0.003927229391375909,0.0
3 days,542.8581449985716,23.299316406250455,23.299316406250455,0.0060291961838298885,0.0060291961838298885,0.0
4 days,87.80824685097593,9.370605468750455,9.370605468750455,0.002435710246051148,0.002435710246051148,0.0
5 days,5319.878906249867,72.93749999999909,72.93749999999909,0.0193902411954613,0.0193902411954613,0.0
6 days,4249.855785608351,65.19091796875045,65.19091796875045,0.01673117140130261,0.01673117140130261,0.0
