horizon,mse,rmse,mae,mape,mdape,coverage
1 days,5955220.422744716,2440.3320312499927,2440.3320312499927,0.036117309321303775,0.036117309321303775,0.0
2 days,2099.859024046518,45.82421874998545,45.82421874998545,0.000684231266084846,0.000684231266084846,0.0
3 days,13914998.20410167,3730.2812500000146,3730.2812500000146,0.05739315366830725,0.05739315366830725,0.0
4 days,31081278.32374589,5575.058593750015,5575.058593750015,0.08583621165091658,0.08583621165091658,0.0
5 days,66725796.21832323,8168.585937500029,8168.585937500029,0.12732391978748603,0.12732391978748603,0.0
6 days,93209521.10162438,9654.507812500044,9654.507812500044,0.14975304163504155,0.14975304163504155,0.0
