horizon,mse,rmse,mae,mape,mdape,coverage
1 days,24742619.006897118,4974.195312500015,4974.195312500015,0.08168857377133967,0.08168857377133967,0.0
2 days,73705377.33839442,8585.183593750015,8585.183593750015,0.13947488362216753,0.13947488362216753,0.0
3 days,153391901.81890905,12385.148437500015,12385.148437500015,0.19967647176628603,0.19967647176628603,0.0
4 days,207984281.6623696,14421.66015625003,14421.66015625003,0.224419748988972,0.224419748988972,0.0
5 days,287751585.5117808,16963.24218750003,16963.24218750003,0.25704672251947847,0.25704672251947847,0.0
6 days,625916937.6258719,25018.332031250044,25018.332031250044,0.40215822070898344,0.40215822070898344,0.0
