horizon,mse,rmse,mae,mape,mdape,coverage
1 days,5144977935.626447,71728.50155709685,50921.43502317926,5.535985752218279,5.535985752218279,0.0
2 days,10768472182.569765,103771.2493062012,73625.07447336786,8.01012129627644,8.01012129627644,0.0
3 days,22661123791.72055,150536.12121919627,106644.4863727724,11.52073714662123,11.52073714662123,0.0
4 days,31067706807.661903,176260.33815825358,125018.9482453585,13.420589727499772,13.420589727499772,0.0
5 days,65365924521.84782,255667.605538613,181028.6827382634,19.60944530068523,19.60944530068523,0.0
6 days,60772804235.22969,246521.40725549514,174505.85719098887,18.545681479916738,18.545681479916738,0.0
7 days,60857002653.05746,246692.12118155995,174472.23026727556,18.67594642146749,18.67594642146749,0.5
