horizon,mse,rmse,mae,mape,mdape,coverage
1 days,301471300.3699454,17362.92891104336,12593.179296784285,1.4543176319140838,1.4543176319140838,0.0
2 days,1829484315.2654543,42772.471465481794,30407.79334411922,3.58020834360037,3.58020834360037,0.5
3 days,110259750.25688352,10500.464287681927,7429.180829602423,0.9049802760688636,0.9049802760688636,0.5
4 days,13375469.097526936,3657.2488427131857,2704.9748863390555,0.3446996838182986,0.3446996838182986,0.5
5 days,2516037248.4268675,50160.11611257362,35585.029903057824,4.4729825357581,4.4729825357581,0.5
6 days,222455069.26095918,14914.927732341152,10881.350671515294,1.5095101402260513,1.5095101402260513,0.0
7 days,231442164.9093159,15213.223356978491,11018.786447551814,1.59046487547808,1.59046487547808,0.0
