horizon,mse,rmse,mae,mape,mdape,coverage
1 days,73534703.11345273,8575.237787574915,6143.284913934565,1.1711941222578854,1.1711941222578854,0.5
2 days,926885941.6654468,30444.80155404937,21659.04624391224,4.127531476645889,4.127531476645889,0.5
3 days,680130992.0808374,26079.321158359115,18738.366183920418,3.0218582482090155,3.0218582482090155,0.0
4 days,644697900.6066679,25390.901925821145,18236.936964852917,2.9375932023128315,2.9375932023128315,0.0
5 days,12718617.274523603,3566.317046271069,2648.6450991610404,0.42585791157855307,0.42585791157855307,0.5
6 days,742958808.4041251,27257.27074386071,19613.63018455254,3.355393275237648,3.355393275237648,0.0
7 days,780657373.2587258,27940.246478131252,20152.191170775583,3.136896007102113,3.136896007102113,0.0
