horizon,mse,rmse,mae,mape,mdape,coverage
1 days,0.028061927462715557,0.16751694679260232,0.16751694679260232,0.11946177532463312,0.11946177532463312,0.0
2 days,0.0875182874359688,0.2958348989486683,0.2958348989486683,0.22229620222799268,0.22229620222799268,0.0
3 days,0.10439482367452427,0.3231018781661974,0.3231018781661974,0.2375024404161649,0.2375024404161649,0.0
4 days,0.18505120277404652,0.43017578124999845,0.43017578124999845,0.328326068185932,0.328326068185932,0.0
5 days,0.1766333574980888,0.4202777147293071,0.4202777147293071,0.3052181024099918,0.3052181024099918,0.0
6 days,0.22708727485678304,0.4765367507934546,0.4765367507934546,0.3459221053076078,0.3459221053076078,0.0
