horizon,mse,rmse,mae,mape,mdape,coverage
1 days,4.308598189428527e-05,0.006563991308212197,0.006563991308212197,0.04974944126718248,0.04974944126718248,0.0
2 days,3.426926543092905e-05,0.005853995680808882,0.005853995680808882,0.04494257982111179,0.04494257982111179,0.0
3 days,3.801950906301113e-05,0.006165996193885553,0.006165996193885553,0.04834293549157971,0.04834293549157971,0.0
4 days,1.632282684573625e-07,0.0004040151834490413,0.0004040151834490413,0.003067203927941554,0.003067203927941554,0.0
5 days,2.663488880340138e-06,0.0016320198774341377,0.0016320198774341377,0.012500821799231733,0.012500821799231733,0.0
6 days,1.315579363002858e-06,0.001146987080573647,0.001146987080573647,0.009148232553575919,0.009148232553575919,0.0
