horizon,mse,rmse,mae,mape,mdape,coverage
1 days,1.8147757346876976e-07,0.0004260018467903276,0.0004260018467903276,0.004614354721104748,0.004614354721104748,0.0
2 days,6.451863843187017e-08,0.0002540051937104243,0.0002540051937104243,0.0027149779629043057,0.0027149779629043057,0.0
3 days,3.2798620461572515e-05,0.0057270079851151345,0.0057270079851151345,0.06424157572408579,0.06424157572408579,0.0
4 days,3.552171910620282e-05,0.005960009992122733,0.005960009992122733,0.0662377884430599,0.0662377884430599,0.0
5 days,9.250619517420447e-05,0.009618014097213856,0.009618014097213856,0.11006481924210118,0.11006481924210118,0.0
6 days,7.233530677641795e-05,0.00850501656532296,0.00850501656532296,0.09496233531057242,0.09496233531057242,0.0
