horizon,mse,rmse,mae,mape,mdape,coverage
1 days,33250939.524717066,5766.362763884793,4141.385093994013,1.9015638684001068,1.9015638684001068,0.5
2 days,53529205.22281185,7316.365574710701,5225.789234067023,2.328742266233337,2.328742266233337,0.5
3 days,127985752.12249549,11313.078808286253,8131.678467498472,4.304134662303539,4.304134662303539,0.0
4 days,327509955.2638495,18097.23612223285,12938.522300104505,6.896175039510316,6.896175039510316,0.0
5 days,464793544.93021613,21559.071059074326,15416.108747226872,7.751378969233533,7.751378969233533,0.0
6 days,756903492.4904277,27511.879115946038,19609.630253043983,9.866256820060347,9.866256820060347,0.0
7 days,758259356.4498633,27536.509518271618,19618.379736034443,10.815979676779616,10.815979676779616,0.0
