horizon,mse,rmse,mae,mape,mdape,coverage
1 days,747669.1615378952,864.6786463987041,616.9680733125617,2.795957116965113,2.795957116965113,0.0
2 days,1758617.1638936438,1326.1286377624322,943.4331047634411,4.76399546980161,4.76399546980161,0.0
3 days,2297063.5715978807,1515.6066678389484,1078.3768360640222,5.133506150711571,5.133506150711571,0.0
4 days,7975467.1209281795,2824.0869534998706,2012.6212917696662,9.593430208400779,9.593430208400779,0.0
5 days,31945848.226954587,5652.065837103685,4011.3818513572573,17.87016107028072,17.87016107028072,0.0
6 days,23965816.962155357,4895.48945072455,3475.571782748696,14.10812740380309,14.10812740380309,0.0
7 days,24086761.187266465,4907.8265237543255,3486.408743282073,14.513010155963924,14.513010155963924,0.0
