horizon,mse,rmse,mae,mape,mdape,coverage
1 days,120520.02531339973,347.15994197689304,256.31214881640415,1.8394842283215067,1.8394842283215067,0.0
2 days,1130473.3366048138,1063.237196774461,764.8129281167879,5.895373374988894,5.895373374988894,0.0
3 days,810975.4572750987,900.5417576520806,642.5270204431704,4.875463619105387,4.875463619105387,0.5
4 days,82575.28236884494,287.3591522273911,214.25278281394372,1.8343055498296565,1.8343055498296565,0.0
5 days,673632.0536745796,820.750908421416,587.5112232548656,4.273757913966785,4.273757913966785,0.0
6 days,107324.9805108652,327.6049152727492,242.2252848211119,1.7671976800747864,1.7671976800747864,0.0
7 days,113138.60330856312,336.3608230881877,250.6015775247689,1.8099883304448292,1.8099883304448292,0.0
