horizon,mse,rmse,mae,mape,mdape,coverage
1 days,323875.2339247916,569.1003724518124,412.48900533426354,2.3618793228031683,2.3618793228031683,0.5
2 days,342918.11205272464,585.5921038169184,427.46645057166165,2.1802986503990125,2.1802986503990125,0.0
3 days,452490.0958624881,672.6738406259665,498.4713010321435,2.6287172398128074,2.6287172398128074,0.0
4 days,989210.4109501145,994.5905745331164,735.2976492319993,3.7046895838552567,3.7046895838552567,0.0
5 days,53792.20972676696,231.93147636051248,191.09279882950472,0.8633836081406797,0.8633836081406797,0.0
6 days,239503.34475697266,489.3907894075783,373.91582095781007,1.5117966001663663,1.5117966001663663,0.0
7 days,227469.31134121268,476.93742916782355,364.21801838158166,1.3851190069390902,1.3851190069390902,0.0
