horizon,mse,rmse,mae,mape,mdape,coverage
1 days,1504092620.369879,38782.63297366334,27680.373246984203,8.614855831538966,8.614855831538966,0.0
2 days,3082216071.642852,55517.70953166973,39498.67443995882,12.074866333400196,12.074866333400196,0.0
3 days,4910664399.096914,70076.13287772745,49877.3503823861,14.627064660003569,14.627064660003569,0.0
4 days,7446442043.002401,86292.76935527334,61442.64672813774,18.692503805284066,18.692503805284066,0.0
5 days,4048090096.6377974,63624.602919293706,45356.436114637094,13.222108301775277,13.222108301775277,0.0
6 days,9171012093.85399,95765.40134022303,68073.6686817428,18.83017199017585,18.83017199017585,0.0
7 days,9174570778.638372,95783.97975986576,68112.82794447891,19.07253315477531,19.07253315477531,0.0
