horizon,mse,rmse,mae,mape,mdape,coverage
1 days,305613.30086039595,552.8230285185268,409.49524338765497,1.069739731144085,1.069739731144085,0.0
2 days,3290635.342762848,1814.0108441690331,1298.048087442826,3.32015891069207,3.32015891069207,0.0
3 days,3578399.258242755,1891.6657363928637,1350.8012983322283,3.153842962880091,3.153842962880091,0.5
4 days,9778088.360083088,3126.993501765408,2251.6101144723425,5.176205677679799,5.176205677679799,0.0
5 days,73984.70824280857,272.00130191381174,222.86140542941502,0.5317489360246814,0.5317489360246814,0.0
6 days,265299.1522073635,515.0719874030848,399.1486179785299,0.9396621092630816,0.9396621092630816,0.0
7 days,259946.62470767295,509.84960989263584,401.7334993283524,0.9631125117584107,0.9631125117584107,0.0
