horizon,mse,rmse,mae,mape,mdape,coverage
1 days,56.184158518995424,7.4956092827064715,5.326508367065059,2.900761996710011,2.900761996710011,0.5
2 days,221.28122494135698,14.875524358534625,10.547420843117454,6.171023843241453,6.171023843241453,0.5
3 days,1124.5602763922175,33.5344640093176,23.761013668225104,14.329520955543236,14.329520955543236,0.0
4 days,624.1413868288473,24.982821834789746,17.766863236438596,10.602713297054628,10.602713297054628,0.0
5 days,979.8319698638702,31.302267807043474,22.256986714378378,14.241115981583958,14.241115981583958,0.0
6 days,1080.9954486911406,32.878495231551284,23.374182376167024,14.730704375271497,14.730704375271497,0.0
7 days,1081.850699373237,32.89149889216417,23.347450388950488,14.381171401039081,14.381171401039081,0.0
