horizon,mse,rmse,mae,mape,mdape,coverage
1 days,0.004341196444876068,0.06588775641100604,0.04829804856256767,1.4055707338589254,1.4055707338589254,0.0
2 days,0.04704076819344724,0.2168888383330208,0.15426498756151596,4.847483254002469,4.847483254002469,0.0
3 days,4.430343222087396e-05,0.006656082347813461,0.0056273397047088385,0.1617222613401872,0.1617222613401872,0.0
4 days,0.02253885732116274,0.1501294685302081,0.10722187872497506,3.22146043048613,3.22146043048613,0.0
5 days,0.012155440120607203,0.1102517125518112,0.0786632476143718,2.3117607107593163,2.3117607107593163,0.0
6 days,0.04498618142133168,0.21209946115285555,0.1507775922409491,4.530193041250195,4.530193041250195,0.0
7 days,0.04469279272730435,0.21140669981650145,0.15010699854425594,4.354000909279272,4.354000909279272,0.0
