horizon,mse,rmse,mae,mape,mdape,coverage
1 days,0.11490160634882755,0.3389713945878436,0.240077358751353,6.093920829855006,6.093920829855006,0.5
2 days,0.009866523747625134,0.09933037676171945,0.07160023638329391,1.8730774271592012,1.8730774271592012,0.0
3 days,0.2456469837615885,0.49562786822533345,0.3511416602560257,8.88260146146369,8.88260146146369,0.5
4 days,0.001062474805365607,0.03259562555567245,0.023413812460580705,0.6028607714422988,0.6028607714422988,0.5
5 days,0.046802671580437466,0.2163392511321916,0.1549509782404127,4.131145782132278,4.131145782132278,0.0
6 days,4.2636790805551275e-05,0.006529685352721927,0.005352222298135298,0.1376791759243868,0.1376791759243868,0.5
7 days,0.00016276243975179864,0.012757838365169808,0.01107817817263711,0.2912471629829892,0.2912471629829892,0.0
