horizon,mse,rmse,mae,mape,mdape,coverage
1 days,152.98351344405444,12.368650429374032,8.783002993014344,3.209438639154808,3.209438639154808,0.5
2 days,171.06697674193762,13.079257499641852,9.292134465929731,3.6661654861015447,3.6661654861015447,0.5
3 days,166.46549996148704,12.902150981967582,9.154496505784172,3.1119157151640633,3.1119157151640633,0.5
4 days,131.05952778924836,11.448123330452391,8.172257572594008,2.876733643962553,2.876733643962553,0.0
5 days,255.0492320295794,15.970260862915778,11.420220163744895,4.015929785400238,4.015929785400238,0.0
6 days,437.42933178722353,20.91481130173599,14.888962637524099,5.461306519881266,5.461306519881266,0.0
7 days,430.4690547547516,20.747748185158592,14.690873670653852,5.300442744452318,5.300442744452318,0.5
