horizon,mse,rmse,mae,mape,mdape,coverage
1 days,0.011199843389631335,0.10582931252555379,0.07531042758693829,0.9037451539126785,0.9037451539126785,0.5
2 days,0.6015897094690187,0.7756221434880638,0.5489085048322304,6.557082174943941,6.557082174943941,0.5
3 days,1.2234909582077753,1.1061152553905833,0.7831457791886616,9.255515175012565,9.255515175012565,0.5
4 days,0.571564853424319,0.756019082711752,0.5357315283747184,6.512916771665253,6.512916771665253,0.0
5 days,0.10527104525869004,0.3244549972780355,0.22996437340026113,2.746677273384407,2.746677273384407,0.5
6 days,0.4584731919749378,0.6771064849600378,0.47950756232775144,5.7750635739823535,5.7750635739823535,0.5
7 days,0.45343011852782933,0.6733721991052417,0.47622337309143964,5.823854832974478,5.823854832974478,0.5
