horizon,mse,rmse,mae,mape,mdape,coverage
1 days,0.0037869575516975337,0.06153826087644607,0.04354625631693228,0.6519502613239145,0.6519502613239145,0.5
2 days,0.06212099167565982,0.24924083067519218,0.17779770831589137,2.7693121748505876,2.7693121748505876,0.5
3 days,0.0014850575469818844,0.038536444399839026,0.03073869723852264,0.46212231619589206,0.46212231619589206,0.0
4 days,0.01527188762556936,0.12357947898243203,0.08816571311655177,1.4252005501492218,1.4252005501492218,0.5
5 days,0.006006952909900985,0.07750453476991515,0.05668668412482938,0.884672112175181,0.884672112175181,0.5
6 days,0.012337647944071469,0.11107496542457922,0.07870033887073197,1.0464830145644128,1.0464830145644128,0.5
7 days,0.013074151762246198,0.11434225711540855,0.08538726776294162,1.2043332837698952,1.2043332837698952,0.0
