horizon,mse,rmse,mae,mape,mdape,coverage
1 days,0.00030190401432976153,0.017375385300181446,0.016186943685369687,0.08525351910912193,0.08525351910912193,0.5
2 days,0.11440427308170768,0.33823700726222683,0.24537273587201253,1.1201067373638085,1.1201067373638085,0.5
3 days,0.03382428964783621,0.18391381037822094,0.13443574353654011,0.6043417887798891,0.6043417887798891,0.5
4 days,0.22966061676973412,0.479229190231286,0.3408770825435562,1.5001358814476058,1.5001358814476058,0.5
5 days,0.34710551012384894,0.5891566091658897,0.4187409492884014,1.9636272011007734,1.9636272011007734,0.5
6 days,0.08178850122904427,0.28598688996008936,0.2026785390229697,0.9208236156427991,0.9208236156427991,0.5
7 days,0.08709648676022835,0.2951211391280339,0.21534395907708348,1.023613619289008,1.023613619289008,0.0
