horizon,mse,rmse,mae,mape,mdape,coverage
1 days,34576.930362939835,185.94873046875,185.94873046875,0.04593614513594191,0.04593614513594191,0.0
2 days,71057.77910047722,266.5666503906241,266.5666503906241,0.06512297836602084,0.06512297836602084,0.0
3 days,175088.30688858032,418.435546875,418.435546875,0.10287725357171669,0.10287725357171669,0.0
4 days,329627.6453748335,574.1320800781241,574.1320800781241,0.14219821929102375,0.14219821929102375,0.0
5 days,877411.8296358568,936.7026367187491,936.7026367187491,0.24644277551444055,0.24644277551444055,0.0
6 days,1525175.5521585897,1234.9799804687482,1234.9799804687482,0.34035253638258905,0.34035253638258905,0.0
