horizon,mse,rmse,mae,mape,mdape,coverage
1 days,19851.681715250143,140.89599609375045,140.89599609375045,0.041109429610314996,0.041109429610314996,0.0
2 days,182885.4830432542,427.6511230468759,427.6511230468759,0.13316218053860324,0.13316218053860324,0.0
3 days,193423.86820316355,439.79980468750045,439.79980468750045,0.1344839167934984,0.1344839167934984,0.0
4 days,137540.29772281714,370.8642578125009,370.8642578125009,0.10875355663420276,0.10875355663420276,0.0
5 days,320817.97600084747,566.4079589843768,566.4079589843768,0.17239565932818265,0.17239565932818265,0.0
6 days,243710.95596409068,493.6708984375023,493.6708984375023,0.14396222550400792,0.14396222550400792,0.0
