horizon,mse,rmse,mae,mape,mdape,coverage
1 days,1631.1117015816271,40.38702392578125,40.38702392578125,0.12085555080377404,0.12085555080377404,0.0
2 days,3773.156595289714,61.42602539062506,61.42602539062506,0.19069772465396875,0.19069772465396875,0.0
3 days,5320.684703820393,72.94302368164068,72.94302368164068,0.22825365963595126,0.22825365963595126,0.0
4 days,13223.39970661701,114.99304199218756,114.99304199218756,0.4013788860260926,0.4013788860260926,0.0
5 days,17300.41353039538,131.53103637695318,131.53103637695318,0.47155232513103895,0.47155232513103895,0.0
6 days,18789.291247878256,137.07403564453136,137.07403564453136,0.48545150588424535,0.48545150588424535,0.0
