horizon,mse,rmse,mae,mape,mdape,coverage
1 days,732.4714079499245,27.064208984375,27.064208984375,0.006976234736280958,0.006976234736280958,0.0
2 days,12150.271834433079,110.228271484375,110.228271484375,0.027829377583376107,0.027829377583376107,0.0
3 days,16353.201986849424,127.87963867187545,127.87963867187545,0.032600795957462826,0.032600795957462826,0.0
4 days,38044.71202665585,195.05053710937545,195.05053710937545,0.04958267617872184,0.04958267617872184,0.0
5 days,113828.64481455118,337.38500976562545,337.38500976562545,0.08392119140206916,0.08392119140206916,0.0
6 days,126126.94443607362,355.14355468750045,355.14355468750045,0.0891850002575001,0.0891850002575001,0.0
