horizon,mse,rmse,mae,mape,mdape,coverage
1 days,281.9771510697901,16.79217529296875,16.79217529296875,0.029165332728379068,0.029165332728379068,0.0
2 days,1234.859235767283,35.140563964843864,35.140563964843864,0.05715376261468136,0.05715376261468136,0.0
3 days,171.97415293753147,13.1138916015625,13.1138916015625,0.022328200584470978,0.022328200584470978,0.0
4 days,520.8335211277008,22.82177734375,22.82177734375,0.038141033651063076,0.038141033651063076,0.0
5 days,635.1144455410483,25.201477050781136,25.201477050781136,0.04086447200538057,0.04086447200538057,0.0
6 days,8703.41858269272,93.29211425781239,93.29211425781239,0.16385602562696566,0.16385602562696566,0.0
