horizon,mse,rmse,mae,mape,mdape,coverage
1 days,17.83391870558166,4.223022460937386,4.223022460937386,0.006572306869262115,0.006572306869262115,0.0
2 days,2848.154420737165,53.368103027343636,53.368103027343636,0.07536185641994385,0.07536185641994385,0.0
3 days,3117.9790887832896,55.83886718750023,55.83886718750023,0.09073352946590409,0.09073352946590409,0.0
4 days,620.5493335463276,24.91082763671909,24.91082763671909,0.03758371845827051,0.03758371845827051,0.0
5 days,3266.446209192315,57.15283203125034,57.15283203125034,0.08833076815975041,0.08833076815975041,0.0
6 days,1366.9141252190211,36.971801757812955,36.971801757812955,0.054077801128075954,0.054077801128075954,0.0
