horizon,mse,rmse,mae,mape,mdape,coverage
1 days,11712.037639772478,108.22216796836256,108.22216796836256,0.02768895385143624,0.02768895385143624,0.0
2 days,364478.39259570534,603.7204589838789,603.7204589838789,0.1478094003692886,0.1478094003692886,0.0
3 days,947241.2245378651,973.2631835931456,973.2631835931456,0.23540312446840128,0.23540312446840128,0.0
4 days,888454.9024573831,942.578857421162,942.578857421162,0.24908096305620706,0.24908096305620706,0.0
5 days,1496547.231987137,1223.3344726554292,1223.3344726554292,0.3266196581205532,0.3266196581205532,0.0
6 days,3297219.3666617493,1815.8247070303205,1815.8247070303205,0.45187881394834006,0.45187881394834006,0.0
