horizon,mse,rmse,mae,mape,mdape,coverage
1 days,584.9871778788497,24.18650817871091,24.18650817871091,0.1438724806111838,0.1438724806111838,0.0
2 days,138.77951587201028,11.780471801757784,11.780471801757784,0.06893490352890402,0.06893490352890402,0.0
3 days,39.967376852640164,6.321975708007756,6.321975708007756,0.03791809898551477,0.03791809898551477,0.0
4 days,127.37300520972477,11.28596496582037,11.28596496582037,0.06459790774734396,0.06459790774734396,0.0
5 days,431.47294630320164,20.771926879882898,20.771926879882898,0.11898712757113641,0.11898712757113641,0.0
6 days,693.0890178589676,26.3265838623048,26.3265838623048,0.15440496590513356,0.15440496590513356,0.0
