Date,ETH-USD
2020-01-01,130.802001953125
2020-01-02,127.4101791381836
2020-01-03,134.1717071533203
2020-01-04,135.06936645507812
2020-01-05,136.2767791748047
2020-01-06,144.3041534423828
2020-01-07,143.5439910888672
2020-01-08,141.2581329345703
2020-01-09,138.9792022705078
2020-01-10,143.96377563476562
2020-01-11,142.92710876464844
2020-01-12,145.87393188476562
2020-01-13,144.22659301757812
2020-01-14,165.95535278320312
2020-01-15,166.23068237304688
2020-01-16,164.39100646972656
2020-01-17,170.7799530029297
2020-01-18,175.3656768798828
2020-01-19,166.9698486328125
2020-01-20,167.12051391601562
2020-01-21,169.69715881347656
2020-01-22,168.29415893554688
2020-01-23,162.92855834960938
2020-01-24,163.05117797851562
2020-01-25,161.283935546875
2020-01-26,168.0771026611328
2020-01-27,170.93089294433594
2020-01-28,176.3703155517578
2020-01-29,175.0503387451172
2020-01-30,184.6904754638672
2020-01-31,180.16017150878906
2020-02-01,183.6739501953125
2020-02-02,188.61753845214844
2020-02-03,189.8650665283203
2020-02-04,189.25059509277344
2020-02-05,204.23023986816406
2020-02-06,212.33908081054688
2020-02-07,222.72605895996094
2020-02-08,223.14651489257812
2020-02-09,228.5785675048828
2020-02-10,223.522705078125
2020-02-11,235.8511962890625
2020-02-12,265.4061279296875
2020-02-13,268.0992431640625
2020-02-14,284.2174987792969
2020-02-15,264.72857666015625
2020-02-16,259.89471435546875
2020-02-17,266.3634338378906
2020-02-18,281.944580078125
2020-02-19,259.76397705078125
2020-02-20,257.949462890625
2020-02-21,265.6006164550781
2020-02-22,262.33172607421875
2020-02-23,273.754150390625
2020-02-24,265.2164306640625
2020-02-25,247.81759643554688
2020-02-26,225.68026733398438
2020-02-27,226.75338745117188
2020-02-28,226.760498046875
2020-02-29,219.8485107421875
2020-03-01,218.97059631347656
2020-03-02,230.5697784423828
2020-03-03,224.47962951660156
2020-03-04,224.51797485351562
2020-03-05,229.2681884765625
2020-03-06,243.52529907226562
2020-03-07,237.85308837890625
2020-03-08,200.68905639648438
2020-03-09,201.986328125
2020-03-10,200.76724243164062
2020-03-11,194.8685302734375
2020-03-12,112.34712219238281
2020-03-13,133.20181274414062
2020-03-14,123.30602264404297
2020-03-15,125.21430206298828
2020-03-16,110.60587310791016
2020-03-17,113.9427490234375
2020-03-18,114.84226989746094
2020-03-19,136.59385681152344
2020-03-20,132.73716735839844
2020-03-21,132.81871032714844
2020-03-22,123.32115173339844
2020-03-23,134.91160583496094
2020-03-24,138.76144409179688
2020-03-25,136.19589233398438
2020-03-26,138.36155700683594
2020-03-27,133.9379425048828
2020-03-28,130.9864959716797
2020-03-29,125.58373260498047
2020-03-30,132.904541015625
2020-03-31,133.59356689453125
2020-04-01,135.63455200195312
2020-04-02,142.02914428710938
2020-04-03,142.09130859375
2020-04-04,145.21939086914062
2020-04-05,143.54664611816406
2020-04-06,169.13587951660156
2020-04-07,165.10194396972656
2020-04-08,172.64173889160156
2020-04-09,170.80714416503906
2020-04-10,158.41244506835938
2020-04-11,158.2160186767578
2020-04-12,161.14242553710938
2020-04-13,156.27955627441406
2020-04-14,157.5963897705078
2020-04-15,153.28689575195312
2020-04-16,172.15737915039062
2020-04-17,171.63858032226562
2020-04-18,186.91400146484375
2020-04-19,181.61495971679688
2020-04-20,172.2971649169922
2020-04-21,172.73770141601562
2020-04-22,182.59957885742188
2020-04-23,185.02867126464844
2020-04-24,189.2369384765625
2020-04-25,195.5153045654297
2020-04-26,197.31753540039062
2020-04-27,197.22471618652344
2020-04-28,198.41539001464844
2020-04-29,216.96823120117188
2020-04-30,207.60205078125
2020-05-01,214.21910095214844
2020-05-02,215.32537841796875
2020-05-03,210.9331512451172
2020-05-04,208.17401123046875
2020-05-05,206.77439880371094
2020-05-06,204.0557861328125
2020-05-07,212.28941345214844
2020-05-08,212.9915771484375
2020-05-09,211.60012817382812
2020-05-10,188.5995635986328
2020-05-11,185.912841796875
2020-05-12,189.3125
2020-05-13,199.1932830810547
2020-05-14,202.9490966796875
2020-05-15,195.62266540527344
2020-05-16,200.6771240234375
2020-05-17,207.15869140625
2020-05-18,214.52505493164062
2020-05-19,213.45111083984375
2020-05-20,210.09674072265625
2020-05-21,199.88360595703125
2020-05-22,207.169189453125
2020-05-23,208.69439697265625
2020-05-24,202.37034606933594
2020-05-25,205.3197479248047
2020-05-26,201.90231323242188
2020-05-27,208.86343383789062
2020-05-28,219.84042358398438
2020-05-29,220.6751251220703
2020-05-30,242.34559631347656
2020-05-31,230.9757080078125
2020-06-01,246.99176025390625
2020-06-02,237.21905517578125
2020-06-03,244.1793212890625
2020-06-04,244.4263916015625
2020-06-05,241.22198486328125
2020-06-06,241.9313201904297
2020-06-07,245.16725158691406
2020-06-08,246.30990600585938
2020-06-09,244.9114532470703
2020-06-10,247.4449462890625
2020-06-11,231.70266723632812
2020-06-12,237.4932098388672
2020-06-13,238.90884399414062
2020-06-14,234.1147003173828
2020-06-15,229.9289093017578
2020-06-16,234.41616821289062
2020-06-17,233.0282745361328
2020-06-18,232.10116577148438
2020-06-19,227.13829040527344
2020-06-20,229.27426147460938
2020-06-21,228.9898223876953
2020-06-22,242.53318786621094
2020-06-23,244.14215087890625
2020-06-24,235.7724609375
2020-06-25,232.94448852539062
2020-06-26,229.6680450439453
2020-06-27,222.9597930908203
2020-06-28,225.34716796875
2020-06-29,228.1948699951172
2020-06-30,226.31500244140625
2020-07-01,231.11341857910156
2020-07-02,229.39219665527344
2020-07-03,225.38706970214844
2020-07-04,229.07411193847656
2020-07-05,227.6645965576172
2020-07-06,241.51022338867188
2020-07-07,239.07553100585938
2020-07-08,246.67001342773438
2020-07-09,243.01596069335938
2020-07-10,240.9849853515625
2020-07-11,239.4581756591797
2020-07-12,242.13169860839844
2020-07-13,239.60458374023438
2020-07-14,240.21148681640625
2020-07-15,238.42352294921875
2020-07-16,233.64088439941406
2020-07-17,232.77308654785156
2020-07-18,235.4838104248047
2020-07-19,238.48751831054688
2020-07-20,236.15316772460938
2020-07-21,245.0167236328125
2020-07-22,262.1906433105469
2020-07-23,274.6890563964844
2020-07-24,279.2154235839844
2020-07-25,304.0567626953125
2020-07-26,309.64361572265625
2020-07-27,321.51409912109375
2020-07-28,316.6572570800781
2020-07-29,318.1908874511719
2020-07-30,334.5866394042969
2020-07-31,345.5546569824219
2020-08-01,385.19970703125
2020-08-02,370.6717224121094
2020-08-03,386.295166015625
2020-08-04,389.87548828125
2020-08-05,401.590576171875
2020-08-06,394.9619445800781
2020-08-07,379.5128479003906
2020-08-08,393.98736572265625
2020-08-09,391.1204528808594
2020-08-10,395.8875732421875
2020-08-11,380.3840637207031
2020-08-12,391.024169921875
