Datetime,Adj Close
2022-01-09 03:00:00+00:00,42047.859375
2022-01-09 03:05:00+00:00,42023.87890625
2022-01-09 03:10:00+00:00,41988.51953125
2022-01-09 03:15:00+00:00,41990.8828125
2022-01-09 03:20:00+00:00,41988.1640625
2022-01-09 03:25:00+00:00,42034.1953125
2022-01-09 03:30:00+00:00,41997.2265625
2022-01-09 03:35:00+00:00,41982.35546875
2022-01-09 03:40:00+00:00,41939.859375
2022-01-09 03:45:00+00:00,41919.8828125
2022-01-09 03:50:00+00:00,41891.23828125
2022-01-09 03:55:00+00:00,41874.44140625
2022-01-09 04:00:00+00:00,41910.21875
2022-01-09 04:05:00+00:00,41878.44140625
2022-01-09 04:10:00+00:00,41935.80859375
2022-01-09 04:15:00+00:00,41943.19140625
2022-01-09 04:20:00+00:00,41965.25390625
2022-01-09 04:25:00+00:00,41990.375
2022-01-09 04:30:00+00:00,42000.62890625
2022-01-09 04:35:00+00:00,42027.28515625
2022-01-09 04:40:00+00:00,42015.15625
2022-01-09 04:45:00+00:00,42012.0078125
2022-01-09 04:50:00+00:00,42083.56640625
2022-01-09 04:55:00+00:00,42058.29296875
2022-01-09 05:00:00+00:00,42038.23828125
2022-01-09 05:05:00+00:00,42021.2890625
2022-01-09 05:10:00+00:00,42046.6484375
2022-01-09 05:15:00+00:00,41968.22265625
2022-01-09 05:20:00+00:00,41902.8203125
2022-01-09 05:25:00+00:00,41900.48828125
2022-01-09 05:30:00+00:00,41847.5078125
2022-01-09 05:35:00+00:00,41882.07421875
2022-01-09 05:40:00+00:00,41908.83203125
2022-01-09 05:45:00+00:00,41877.984375
2022-01-09 05:50:00+00:00,41809.73828125
2022-01-09 05:55:00+00:00,41777.82421875
2022-01-09 06:00:00+00:00,41771.1484375
2022-01-09 06:05:00+00:00,41757.8046875
2022-01-09 06:10:00+00:00,41810.4609375
2022-01-09 06:15:00+00:00,41827.29296875
2022-01-09 06:20:00+00:00,41809.58203125
2022-01-09 06:25:00+00:00,41790.76953125
2022-01-09 06:30:00+00:00,41788.60546875
2022-01-09 06:35:00+00:00,41878.33203125
2022-01-09 06:40:00+00:00,41906.69921875
2022-01-09 06:45:00+00:00,41919.70703125
2022-01-09 06:50:00+00:00,41907.44921875
2022-01-09 06:55:00+00:00,41901.16796875
2022-01-09 07:00:00+00:00,41888.63671875
2022-01-09 07:05:00+00:00,41908.3203125
2022-01-09 07:10:00+00:00,41878.82421875
2022-01-09 07:15:00+00:00,41907.45703125
2022-01-09 07:20:00+00:00,41895.19140625
2022-01-09 07:25:00+00:00,41890.94140625
2022-01-09 07:30:00+00:00,41879.578125
2022-01-09 07:35:00+00:00,41832.140625
2022-01-09 07:40:00+00:00,41848.33203125
2022-01-09 07:45:00+00:00,41829.90625
2022-01-09 07:50:00+00:00,41855.5
2022-01-09 07:55:00+00:00,41842.015625
2022-01-09 08:00:00+00:00,41837.64453125
2022-01-09 08:05:00+00:00,41848.46484375
2022-01-09 08:10:00+00:00,41935.109375
2022-01-09 08:15:00+00:00,41826.9296875
2022-01-09 08:20:00+00:00,41769.57421875
2022-01-09 08:25:00+00:00,41714.734375
2022-01-09 08:30:00+00:00,41669.140625
2022-01-09 08:35:00+00:00,41754.8359375
2022-01-09 08:40:00+00:00,41763.16015625
2022-01-09 08:45:00+00:00,41789.35546875
2022-01-09 08:50:00+00:00,41742.7421875
2022-01-09 08:55:00+00:00,41732.6171875
2022-01-09 09:00:00+00:00,41749.27734375
2022-01-09 09:05:00+00:00,41770.6875
2022-01-09 09:10:00+00:00,41769.83984375
2022-01-09 09:15:00+00:00,41675.4375
2022-01-09 09:20:00+00:00,41629.11328125
2022-01-09 09:25:00+00:00,41606.44921875
2022-01-09 09:30:00+00:00,41617.65625
2022-01-09 09:35:00+00:00,41652.0234375
2022-01-09 09:40:00+00:00,41643.32421875
2022-01-09 09:45:00+00:00,41668.5703125
2022-01-09 09:50:00+00:00,41628.2109375
2022-01-09 09:55:00+00:00,41570.33984375
2022-01-09 10:00:00+00:00,41592.546875
2022-01-09 10:05:00+00:00,41604.484375
2022-01-09 10:10:00+00:00,41528.39453125
2022-01-09 10:15:00+00:00,41500.7265625
2022-01-09 10:20:00+00:00,41515.65234375
2022-01-09 10:25:00+00:00,41530.26953125
2022-01-09 10:30:00+00:00,41571.953125
2022-01-09 10:35:00+00:00,41573.46484375
2022-01-09 10:40:00+00:00,41642.65234375
2022-01-09 10:45:00+00:00,41669.515625
2022-01-09 10:50:00+00:00,41687.296875
